40,50.0,30.0,5.0,0.0,5.0,10.0,100.0
0,1716.1473,816.36584,0.0,50.0,30.0,10.0,1.0,true
1,1655.4246,964.905,0.0,50.0,30.0,10.0,1.0,true
2,1829.9131,906.4749,0.0,50.0,30.0,10.0,1.0,true
3,1634.0717,862.32416,0.0,50.0,30.0,10.0,1.0,true
4,1799.8727,988.0871,0.0,50.0,30.0,10.0,1.0,true
5,1660.4397,826.0546,0.0,50.0,30.0,10.0,1.0,true
6,1673.3846,1007.80255,0.0,50.0,30.0,10.0,1.0,true
7,1775.8279,843.14636,0.0,50.0,30.0,10.0,1.0,true
8,1620.696,920.6164,0.0,50.0,30.0,10.0,1.0,true
9,1821.911,965.22614,0.0,50.0,30.0,10.0,1.0,true
10,1691.341,837.90643,0.0,50.0,30.0,10.0,1.0,true
11,1746.0623,1020.62805,0.0,50.0,30.0,10.0,1.0,true
12,1813.2135,876.0869,0.0,50.0,30.0,10.0,1.0,true
13,1642.5092,896.166,0.0,50.0,30.0,10.0,1.0,true
14,1769.6321,998.5917,0.0,50.0,30.0,10.0,1.0,true
15,1747.0934,828.3929,0.0,50.0,30.0,10.0,1.0,true
16,1693.7582,982.92664,0.0,50.0,30.0,10.0,1.0,false
17,1814.1915,932.44257,0.0,50.0,30.0,10.0,1.0,true
18,1666.977,859.79517,0.0,50.0,30.0,10.0,1.0,false
19,1713.0109,1009.2265,0.0,50.0,30.0,10.0,1.0,true
20,1721.2657,849.816,0.0,50.0,30.0,10.0,1.0,false
21,1647.972,934.28143,0.0,50.0,30.0,10.0,1.0,true
22,1791.7839,955.1553,0.0,50.0,30.0,10.0,1.0,false
23,1673.4556,890.7335,0.0,50.0,30.0,10.0,1.0,false
24,1738.5424,989.774,0.0,50.0,30.0,10.0,1.0,false
25,1782.8676,874.65015,0.0,50.0,30.0,10.0,1.0,false
26,1685.9856,952.3098,0.0,50.0,30.0,10.0,1.0,false
27,1794.2914,904.01544,0.0,50.0,30.0,10.0,1.0,false
28,1697.027,869.64386,0.0,50.0,30.0,10.0,1.0,false
29,1762.6954,966.4722,0.0,50.0,30.0,10.0,1.0,false
30,1752.7202,864.0147,0.0,50.0,30.0,10.0,1.0,false
31,1676.8148,923.6947,0.0,50.0,30.0,10.0,1.0,false
32,1773.2888,928.81024,0.0,50.0,30.0,10.0,1.0,false
33,1718.8916,962.45874,0.0,50.0,30.0,10.0,1.0,false
34,1727.1726,880.2913,0.0,50.0,30.0,10.0,1.0,false
35,1743.2399,942.35425,0.0,50.0,30.0,10.0,1.0,false
36,1702.1115,901.2931,0.0,50.0,30.0,10.0,1.0,false
37,1763.148,898.1035,0.0,50.0,30.0,10.0,1.0,false
38,1709.9313,932.0254,0.0,50.0,30.0,10.0,1.0,false
39,1735.7094,912.5356,0.0,50.0,30.0,10.0,1.0,false
