92,50.0,30.0,5.0,0.0,5.0,10.0,100.0
3,1947.786,939.94666,0.0,50.0,30.0,10.0,1.0,false
4,1947.786,939.94666,0.0,50.0,30.0,10.0,1.0,false
5,1947.786,939.94666,0.0,50.0,30.0,10.0,1.0,false
6,1963.6276,872.62115,0.0,50.0,30.0,10.0,1.0,true
7,1623.7318,887.7733,0.0,50.0,30.0,10.0,1.0,true
9,1748.1537,775.4622,0.0,50.0,30.0,10.0,1.0,true
10,1690.9707,1024.0171,0.0,50.0,30.0,10.0,1.0,true
11,1864.5112,759.33826,0.0,50.0,30.0,10.0,1.0,true
12,1629.5868,919.17175,0.0,50.0,30.0,10.0,1.0,true
14,1646.5936,833.31476,0.0,50.0,30.0,10.0,1.0,true
15,1685.4927,993.5096,0.0,50.0,30.0,10.0,1.0,true
17,1806.6937,762.33624,0.0,50.0,30.0,10.0,1.0,true
18,1938.9708,984.87604,0.0,50.0,30.0,10.0,1.0,true
19,1911.6622,999.46375,0.0,50.0,30.0,10.0,1.0,true
20,1831.8699,1055.2611,0.0,50.0,30.0,10.0,1.0,true
21,1900.3607,1036.5824,0.0,50.0,30.0,10.0,1.0,true
22,1766.2214,1048.5925,0.0,50.0,30.0,10.0,1.0,true
23,1651.3237,944.858,0.0,50.0,30.0,10.0,1.0,true
24,1929.0796,773.4384,0.0,50.0,30.0,10.0,1.0,true
25,1648.881,867.7827,0.0,50.0,30.0,10.0,1.0,true
26,1942.0533,898.21466,0.0,50.0,30.0,10.0,1.0,true
27,1658.0566,904.85406,0.0,50.0,30.0,10.0,1.0,false
28,1799.3009,1043.7849,0.0,50.0,30.0,10.0,1.0,true
29,1699.3939,774.1659,0.0,50.0,30.0,10.0,1.0,true
30,1718.7996,1042.002,0.0,50.0,30.0,10.0,1.0,true
31,1895.5228,776.37714,0.0,50.0,30.0,10.0,1.0,true
32,1780.887,779.87573,0.0,50.0,30.0,10.0,1.0,true
33,1923.806,958.6057,0.0,50.0,30.0,10.0,1.0,false
34,1716.6125,1007.1627,0.0,50.0,30.0,10.0,1.0,false
35,1928.6055,828.1294,0.0,50.0,30.0,10.0,1.0,true
36,1663.287,807.59406,0.0,50.0,30.0,10.0,1.0,true
37,1865.8396,1040.0615,0.0,50.0,30.0,10.0,1.0,true
38,1836.5402,773.07367,0.0,50.0,30.0,10.0,1.0,true
39,1744.6392,1021.95886,0.0,50.0,30.0,10.0,1.0,false
40,1935.2175,858.1159,0.0,50.0,30.0,10.0,1.0,true
41,1677.8503,847.4443,0.0,50.0,30.0,10.0,1.0,false
42,1881.0366,1010.8413,0.0,50.0,30.0,10.0,1.0,false
43,1910.1617,803.3357,0.0,50.0,30.0,10.0,1.0,true
44,1681.826,961.57245,0.0,50.0,30.0,10.0,1.0,true
45,1921.3799,920.92566,0.0,50.0,30.0,10.0,1.0,false
46,1696.76,810.5854,0.0,50.0,30.0,10.0,1.0,false
47,1838.4167,1019.99243,0.0,50.0,30.0,10.0,1.0,false
48,1807.8036,794.28534,0.0,50.0,30.0,10.0,1.0,false
49,1678.5402,881.60925,0.0,50.0,30.0,10.0,1.0,false
50,1914.348,882.1351,0.0,50.0,30.0,10.0,1.0,false
51,1712.3982,976.4328,0.0,50.0,30.0,10.0,1.0,false
52,1723.6758,796.1567,0.0,50.0,30.0,10.0,1.0,false
53,1891.4357,971.91797,0.0,50.0,30.0,10.0,1.0,false
54,1708.2817,839.9447,0.0,50.0,30.0,10.0,1.0,false
55,1869.9454,796.54315,0.0,50.0,30.0,10.0,1.0,false
56,1776.0651,1018.8883,0.0,50.0,30.0,10.0,1.0,false
57,1678.209,930.1977,0.0,50.0,30.0,10.0,1.0,false
58,1896.334,941.7256,0.0,50.0,30.0,10.0,1.0,false
59,1764.6188,806.4,0.0,50.0,30.0,10.0,1.0,false
60,1857.5237,991.3465,0.0,50.0,30.0,10.0,1.0,false
61,1886.2279,824.4464,0.0,50.0,30.0,10.0,1.0,false
62,1750.779,985.21,0.0,50.0,30.0,10.0,1.0,false
63,1863.3911,960.0484,0.0,50.0,30.0,10.0,1.0,false
64,1701.4741,904.7377,0.0,50.0,30.0,10.0,1.0,false
65,1839.5336,803.1075,0.0,50.0,30.0,10.0,1.0,false
66,1708.3096,941.83527,0.0,50.0,30.0,10.0,1.0,false
67,1904.5645,849.02905,0.0,50.0,30.0,10.0,1.0,false
68,1735.9677,824.25226,0.0,50.0,30.0,10.0,1.0,false
69,1806.6929,1012.7825,0.0,50.0,30.0,10.0,1.0,false
70,1791.5939,820.5694,0.0,50.0,30.0,10.0,1.0,false
71,1786.1316,988.3944,0.0,50.0,30.0,10.0,1.0,false
72,1888.2617,904.3359,0.0,50.0,30.0,10.0,1.0,false
73,1707.6469,872.9437,0.0,50.0,30.0,10.0,1.0,false
74,1825.3226,986.4105,0.0,50.0,30.0,10.0,1.0,false
75,1856.6522,832.79926,0.0,50.0,30.0,10.0,1.0,false
76,1739.6747,955.0095,0.0,50.0,30.0,10.0,1.0,false
77,1881.4834,872.3345,0.0,50.0,30.0,10.0,1.0,false
78,1728.7073,917.7151,0.0,50.0,30.0,10.0,1.0,false
79,1868.4362,928.84784,0.0,50.0,30.0,10.0,1.0,false
80,1765.5565,837.3523,0.0,50.0,30.0,10.0,1.0,false
81,1770.4792,962.5592,0.0,50.0,30.0,10.0,1.0,false
82,1822.1636,834.95514,0.0,50.0,30.0,10.0,1.0,false
83,1832.9647,956.3249,0.0,50.0,30.0,10.0,1.0,false
84,1735.5402,855.2122,0.0,50.0,30.0,10.0,1.0,false
85,1852.3384,895.8012,0.0,50.0,30.0,10.0,1.0,false
86,1760.8326,932.1862,0.0,50.0,30.0,10.0,1.0,false
87,1795.2402,850.7071,0.0,50.0,30.0,10.0,1.0,false
88,1802.499,960.3595,0.0,50.0,30.0,10.0,1.0,false
89,1738.5618,888.4757,0.0,50.0,30.0,10.0,1.0,false
90,1851.4348,864.64996,0.0,50.0,30.0,10.0,1.0,false
91,1792.1177,927.86774,0.0,50.0,30.0,10.0,1.0,false
92,1821.1782,867.49426,0.0,50.0,30.0,10.0,1.0,false
93,1763.361,870.0702,0.0,50.0,30.0,10.0,1.0,false
94,1836.6827,926.01953,0.0,50.0,30.0,10.0,1.0,false
95,1766.646,902.22845,0.0,50.0,30.0,10.0,1.0,false
96,1818.3973,900.2951,0.0,50.0,30.0,10.0,1.0,false
97,1792.6196,881.94257,0.0,50.0,30.0,10.0,1.0,false
