243,55.0,40.0,5.0,0.2,5.0,100.0,0.2
0,1413.0745,966.05634,0.0,55.0,40.0,10.0,1.0,false
1,1569.0762,994.75525,0.0,55.0,40.0,10.0,1.0,false
2,1538.309,762.1921,0.0,55.0,40.0,10.0,1.0,true
3,1152.0726,907.03314,0.0,55.0,40.0,10.0,1.0,false
4,1136.7355,566.79614,0.0,55.0,40.0,10.0,1.0,false
5,1468.9661,715.9466,0.0,55.0,40.0,10.0,1.0,true
6,1571.2373,824.0921,0.0,55.0,40.0,10.0,1.0,false
7,1577.2075,693.83044,0.0,55.0,40.0,10.0,1.0,false
8,1568.0602,857.32306,0.0,55.0,40.0,10.0,1.0,false
9,1451.0554,622.22473,0.0,55.0,40.0,10.0,1.0,false
10,1225.8528,655.6783,0.0,55.0,40.0,10.0,1.0,true
11,1209.0972,952.7206,0.0,55.0,40.0,10.0,1.0,false
12,1512.1134,650.4453,0.0,55.0,40.0,10.0,1.0,false
13,1162.9796,836.4352,0.0,55.0,40.0,10.0,1.0,true
14,1490.3615,823.4319,0.0,55.0,40.0,10.0,1.0,false
15,1110.5167,684.49414,0.0,55.0,40.0,10.0,1.0,true
16,1546.2946,718.6809,0.0,55.0,40.0,10.0,1.0,false
17,1316.8739,1044.4835,0.0,55.0,40.0,10.0,1.0,false
18,1608.2117,806.0582,0.0,55.0,40.0,10.0,1.0,false
19,1188.3789,660.84204,0.0,55.0,40.0,10.0,1.0,true
20,1293.0646,664.03156,0.0,55.0,40.0,10.0,1.0,true
21,1506.3351,725.3192,0.0,55.0,40.0,10.0,1.0,true
22,1489.0631,617.096,0.0,55.0,40.0,10.0,1.0,false
23,1300.7471,627.62775,0.0,55.0,40.0,10.0,1.0,false
24,1555.0133,953.24243,0.0,55.0,40.0,10.0,1.0,true
25,1329.5762,969.0312,0.0,55.0,40.0,10.0,1.0,true
26,1455.3583,970.4268,0.0,55.0,40.0,10.0,1.0,false
27,1418.8799,1007.24384,0.0,55.0,40.0,10.0,1.0,false
28,1446.7378,684.5922,0.0,55.0,40.0,10.0,1.0,true
29,1193.7302,622.96136,0.0,55.0,40.0,10.0,1.0,false
30,1123.2246,831.6382,0.0,55.0,40.0,10.0,1.0,false
31,1110.313,728.2988,0.0,55.0,40.0,10.0,1.0,false
32,1470.5474,652.04736,0.0,55.0,40.0,10.0,1.0,false
33,1443.9635,553.2396,0.0,55.0,40.0,10.0,1.0,false
34,1462.0847,792.6733,0.0,55.0,40.0,10.0,1.0,true
35,1147.1422,676.2852,0.0,55.0,40.0,10.0,1.0,true
36,1400.6533,622.1305,0.0,55.0,40.0,10.0,1.0,true
37,1260.5037,996.9542,0.0,55.0,40.0,10.0,1.0,false
38,1605.3009,885.3685,0.0,55.0,40.0,10.0,1.0,false
39,1178.1064,877.6391,0.0,55.0,40.0,10.0,1.0,true
40,1492.0867,688.4736,0.0,55.0,40.0,10.0,1.0,false
41,1107.7297,796.7601,0.0,55.0,40.0,10.0,1.0,false
42,1607.9417,767.58545,0.0,55.0,40.0,10.0,1.0,false
43,1231.5793,922.22076,0.0,55.0,40.0,10.0,1.0,true
44,1423.8026,649.00037,0.0,55.0,40.0,10.0,1.0,true
45,1533.854,684.5302,0.0,55.0,40.0,10.0,1.0,false
46,1475.1042,937.63245,0.0,55.0,40.0,10.0,1.0,false
47,1549.3594,650.1283,0.0,55.0,40.0,10.0,1.0,false
48,1354.2662,1046.0983,0.0,55.0,40.0,10.0,1.0,false
49,1083.196,660.1889,0.0,55.0,40.0,10.0,1.0,true
50,1119.3351,647.9068,0.0,55.0,40.0,10.0,1.0,false
51,1097.5217,865.60175,0.0,55.0,40.0,10.0,1.0,false
52,1436.2678,930.8347,0.0,55.0,40.0,10.0,1.0,true
53,1074.148,715.471,0.0,55.0,40.0,10.0,1.0,true
54,1375.6868,586.0173,0.0,55.0,40.0,10.0,1.0,false
55,1515.8555,946.2538,0.0,55.0,40.0,10.0,1.0,false
56,1498.8687,864.699,0.0,55.0,40.0,10.0,1.0,false
57,1458.1835,1009.0119,0.0,55.0,40.0,10.0,1.0,false
58,1445.3271,823.3258,0.0,55.0,40.0,10.0,1.0,true
59,1366.8193,633.6073,0.0,55.0,40.0,10.0,1.0,true
60,1572.0548,782.81036,0.0,55.0,40.0,10.0,1.0,false
61,1462.9235,901.35834,0.0,55.0,40.0,10.0,1.0,true
62,1245.6987,962.03,0.0,55.0,40.0,10.0,1.0,false
63,1426.2921,588.7222,0.0,55.0,40.0,10.0,1.0,false
64,1504.3704,905.9132,0.0,55.0,40.0,10.0,1.0,false
65,1299.9517,1004.94415,0.0,55.0,40.0,10.0,1.0,false
66,1504.068,780.63214,0.0,55.0,40.0,10.0,1.0,true
67,1573.3993,897.567,0.0,55.0,40.0,10.0,1.0,true
68,1393.3477,932.795,0.0,55.0,40.0,10.0,1.0,true
69,1273.4359,929.80615,0.0,55.0,40.0,10.0,1.0,true
70,1289.1431,969.8393,0.0,55.0,40.0,10.0,1.0,true
71,1147.493,801.4286,0.0,55.0,40.0,10.0,1.0,true
72,1603.6104,847.999,0.0,55.0,40.0,10.0,1.0,false
73,1137.5883,871.4293,0.0,55.0,40.0,10.0,1.0,false
74,1088.8164,758.65533,0.0,55.0,40.0,10.0,1.0,false
75,1527.6805,616.6317,0.0,55.0,40.0,10.0,1.0,false
76,1432.9669,1042.503,0.0,55.0,40.0,10.0,1.0,false
77,1158.5663,634.6913,0.0,55.0,40.0,10.0,1.0,false
78,1098.0656,577.99207,0.0,55.0,40.0,10.0,1.0,false
79,1535.6973,801.0052,0.0,55.0,40.0,10.0,1.0,false
80,1127.3298,606.4314,0.0,55.0,40.0,10.0,1.0,false
81,1131.2505,760.1663,0.0,55.0,40.0,10.0,1.0,true
82,1491.4729,978.2506,0.0,55.0,40.0,10.0,1.0,false
83,1087.9346,620.8288,0.0,55.0,40.0,10.0,1.0,false
84,1532.0009,985.08374,0.0,55.0,40.0,10.0,1.0,false
85,1264.5326,641.362,0.0,55.0,40.0,10.0,1.0,true
86,1578.1252,744.88275,0.0,55.0,40.0,10.0,1.0,false
87,1533.5952,879.9302,0.0,55.0,40.0,10.0,1.0,false
88,1466.8413,586.5823,0.0,55.0,40.0,10.0,1.0,false
89,1456.6296,859.03687,0.0,55.0,40.0,10.0,1.0,true
90,1375.174,966.98773,0.0,55.0,40.0,10.0,1.0,true
91,1349.0116,933.7771,0.0,55.0,40.0,10.0,1.0,true
92,1394.7158,1039.3496,0.0,55.0,40.0,10.0,1.0,false
93,1531.0359,842.075,0.0,55.0,40.0,10.0,1.0,false
94,1540.0193,919.9753,0.0,55.0,40.0,10.0,1.0,true
95,1162.2118,596.15015,0.0,55.0,40.0,10.0,1.0,false
96,1340.4813,1010.4524,0.0,55.0,40.0,10.0,1.0,true
97,1376.7471,1001.8337,0.0,55.0,40.0,10.0,1.0,true
98,1303.8516,586.51196,0.0,55.0,40.0,10.0,1.0,false
99,1328.0508,653.717,0.0,55.0,40.0,10.0,1.0,true
100,1337.4934,610.4124,0.0,55.0,40.0,10.0,1.0,false
101,1341.5215,570.4924,0.0,55.0,40.0,10.0,1.0,false
102,1409.3123,555.41797,0.0,55.0,40.0,10.0,1.0,false
103,1506.5664,583.12335,0.0,55.0,40.0,10.0,1.0,false
104,1307.0613,550.0669,0.0,55.0,40.0,10.0,1.0,false
105,1268.021,601.5888,0.0,55.0,40.0,10.0,1.0,false
106,1201.2932,582.9076,0.0,55.0,40.0,10.0,1.0,false
107,1151.509,714.833,0.0,55.0,40.0,10.0,1.0,true
108,1195.9727,911.889,0.0,55.0,40.0,10.0,1.0,true
109,1179.4554,984.4769,0.0,55.0,40.0,10.0,1.0,false
110,1221.961,990.71985,0.0,55.0,40.0,10.0,1.0,false
111,1330.8507,1078.6758,0.0,55.0,40.0,10.0,1.0,false
112,1408.2064,1075.8763,0.0,55.0,40.0,10.0,1.0,false
113,1499.8483,1017.25195,0.0,55.0,40.0,10.0,1.0,false
114,1594.8657,963.8816,0.0,55.0,40.0,10.0,1.0,true
115,1644.4059,870.54114,0.0,55.0,40.0,10.0,1.0,true
116,1609.8142,723.6738,0.0,55.0,40.0,10.0,1.0,false
117,1593.2616,654.5674,0.0,55.0,40.0,10.0,1.0,true
118,1570.638,613.00433,0.0,55.0,40.0,10.0,1.0,true
119,1462.349,517.35187,0.0,55.0,40.0,10.0,1.0,true
120,1369.2826,548.1746,0.0,55.0,40.0,10.0,1.0,false
121,1342.0913,528.686,0.0,55.0,40.0,10.0,1.0,false
122,1272.2637,564.97845,0.0,55.0,40.0,10.0,1.0,false
123,1233.7422,613.66296,0.0,55.0,40.0,10.0,1.0,false
124,1170.321,556.44727,0.0,55.0,40.0,10.0,1.0,false
125,1167.5226,946.70874,0.0,55.0,40.0,10.0,1.0,false
126,1156.9078,1014.61676,0.0,55.0,40.0,10.0,1.0,false
127,1237.3315,1028.5276,0.0,55.0,40.0,10.0,1.0,false
128,1250.8589,1067.0538,0.0,55.0,40.0,10.0,1.0,false
129,1292.1641,1072.8994,0.0,55.0,40.0,10.0,1.0,false
130,1305.7786,1112.2263,0.0,55.0,40.0,10.0,1.0,true
131,1372.6299,1082.8042,0.0,55.0,40.0,10.0,1.0,false
132,1388.7601,1118.0155,0.0,55.0,40.0,10.0,1.0,true
133,1451.539,1079.6738,0.0,55.0,40.0,10.0,1.0,true
134,1475.4332,1048.8281,0.0,55.0,40.0,10.0,1.0,false
135,1511.5776,1051.0588,0.0,55.0,40.0,10.0,1.0,true
136,1604.906,1001.1185,0.0,55.0,40.0,10.0,1.0,true
137,1541.0426,1020.92773,0.0,55.0,40.0,10.0,1.0,true
138,1597.4469,922.667,0.0,55.0,40.0,10.0,1.0,true
139,1063.1302,792.57227,0.0,55.0,40.0,10.0,1.0,false
140,1112.5978,900.3489,0.0,55.0,40.0,10.0,1.0,false
141,1126.6974,941.07544,0.0,55.0,40.0,10.0,1.0,false
142,1143.2642,976.6505,0.0,55.0,40.0,10.0,1.0,false
143,1194.4576,1022.7248,0.0,55.0,40.0,10.0,1.0,false
144,1209.3768,1060.9996,0.0,55.0,40.0,10.0,1.0,false
145,1113.8497,1009.1122,0.0,55.0,40.0,10.0,1.0,false
146,1072.833,894.5877,0.0,55.0,40.0,10.0,1.0,false
147,1082.0709,825.8267,0.0,55.0,40.0,10.0,1.0,false
148,1025.5796,784.30524,0.0,55.0,40.0,10.0,1.0,false
149,1047.683,680.481,0.0,55.0,40.0,10.0,1.0,true
150,1046.6918,750.8438,0.0,55.0,40.0,10.0,1.0,false
151,1039.5934,820.7373,0.0,55.0,40.0,10.0,1.0,false
152,1047.2363,926.96857,0.0,55.0,40.0,10.0,1.0,false
153,1076.741,1001.1035,0.0,55.0,40.0,10.0,1.0,false
154,1086.1068,934.89233,0.0,55.0,40.0,10.0,1.0,false
155,1056.3815,860.3072,0.0,55.0,40.0,10.0,1.0,false
156,1000.5915,816.13696,0.0,55.0,40.0,10.0,1.0,false
157,1029.949,715.4661,0.0,55.0,40.0,10.0,1.0,false
158,1108.0134,537.2982,0.0,55.0,40.0,10.0,1.0,false
159,1142.4705,528.3083,0.0,55.0,40.0,10.0,1.0,false
160,1241.6525,536.46893,0.0,55.0,40.0,10.0,1.0,false
161,1280.5261,525.4099,0.0,55.0,40.0,10.0,1.0,false
162,1311.2476,508.03284,0.0,55.0,40.0,10.0,1.0,false
163,1380.8877,510.8381,0.0,55.0,40.0,10.0,1.0,false
164,1421.4556,518.3959,0.0,55.0,40.0,10.0,1.0,false
165,1485.7252,548.1302,0.0,55.0,40.0,10.0,1.0,false
166,1547.4891,579.7425,0.0,55.0,40.0,10.0,1.0,true
167,1617.2577,682.10846,0.0,55.0,40.0,10.0,1.0,true
168,1675.4072,771.8647,0.0,55.0,40.0,10.0,1.0,true
169,1675.305,810.4714,0.0,55.0,40.0,10.0,1.0,true
170,1672.2257,896.3785,0.0,55.0,40.0,10.0,1.0,true
171,1275.1256,1037.8079,0.0,55.0,40.0,10.0,1.0,false
172,1172.7515,1051.2173,0.0,55.0,40.0,10.0,1.0,false
173,1099.3711,970.6094,0.0,55.0,40.0,10.0,1.0,false
174,1060.0963,962.9979,0.0,55.0,40.0,10.0,1.0,false
175,1030.272,887.47986,0.0,55.0,40.0,10.0,1.0,false
176,1012.74207,854.3845,0.0,55.0,40.0,10.0,1.0,false
177,1048.0028,633.0288,0.0,55.0,40.0,10.0,1.0,false
178,1066.4983,590.7847,0.0,55.0,40.0,10.0,1.0,false
179,1068.7104,552.6539,0.0,55.0,40.0,10.0,1.0,false
180,1181.4694,515.67303,0.0,55.0,40.0,10.0,1.0,false
181,1216.9425,506.18216,0.0,55.0,40.0,10.0,1.0,false
182,1287.1599,491.26395,0.0,55.0,40.0,10.0,1.0,false
