17,50.0,20.0,5.0,0.0,5.0,10.0,100.0
0,796.0,491.0,0.0,50.0,20.0,10.0,1.0,true
1,886.0,470.0,0.0,50.0,20.0,10.0,1.0,true
2,988.0,485.0,0.0,50.0,20.0,10.0,1.0,true
3,992.0,574.0,0.0,50.0,20.0,10.0,1.0,true
4,899.0,613.0,0.0,50.0,20.0,10.0,1.0,true
5,827.0,605.0,0.0,50.0,20.0,10.0,1.0,true
6,861.0,657.0,0.0,50.0,20.0,10.0,1.0,true
7,960.0,609.0,0.0,50.0,20.0,10.0,1.0,true
8,923.0,534.0,0.0,50.0,20.0,10.0,1.0,true
9,858.0,536.0,0.0,50.0,20.0,10.0,1.0,true
10,831.0,548.0,0.0,50.0,20.0,10.0,1.0,true
11,740.0,549.0,0.0,50.0,20.0,10.0,1.0,true
12,726.0,583.0,0.0,50.0,20.0,10.0,1.0,true
13,746.0,640.0,0.0,50.0,20.0,10.0,1.0,true
14,866.0,709.0,0.0,50.0,20.0,10.0,1.0,true
15,936.0,673.0,0.0,50.0,20.0,10.0,1.0,true
16,988.0,638.0,0.0,50.0,20.0,10.0,1.0,true
