286,55.0,40.0,5.0,0.2,5.0,10.0,100.0
0,1114.4716,586.7269,0.0,55.0,40.0,10.0,1.0,true
1,1140.6216,444.86084,0.0,55.0,40.0,10.0,1.0,true
2,630.7927,587.49945,0.0,55.0,40.0,10.0,1.0,true
3,927.3344,331.01227,0.0,55.0,40.0,10.0,1.0,true
4,1168.1675,533.35693,0.0,55.0,40.0,10.0,1.0,true
5,1192.5474,675.1934,0.0,55.0,40.0,10.0,1.0,false
6,1016.99866,730.075,0.0,55.0,40.0,10.0,1.0,false
7,1219.9832,641.4098,0.0,55.0,40.0,10.0,1.0,false
8,1095.3523,313.32306,0.0,55.0,40.0,10.0,1.0,false
9,1076.2972,584.6461,0.0,55.0,40.0,10.0,1.0,true
10,1192.5045,499.42938,0.0,55.0,40.0,10.0,1.0,false
11,866.81744,487.43616,0.0,55.0,40.0,10.0,1.0,true
12,1031.5276,363.5638,0.0,55.0,40.0,10.0,1.0,true
13,735.73846,625.3574,0.0,55.0,40.0,10.0,1.0,false
14,724.6012,478.89862,0.0,55.0,40.0,10.0,1.0,false
15,923.04785,780.62885,0.0,55.0,40.0,10.0,1.0,true
16,671.881,646.66974,0.0,55.0,40.0,10.0,1.0,true
17,1217.3914,702.68677,0.0,55.0,40.0,10.0,1.0,false
18,788.8709,536.2897,0.0,55.0,40.0,10.0,1.0,true
19,1061.5062,338.6662,0.0,55.0,40.0,10.0,1.0,false
20,732.882,697.00116,0.0,55.0,40.0,10.0,1.0,true
21,999.3552,770.1223,0.0,55.0,40.0,10.0,1.0,false
22,700.91754,617.13385,0.0,55.0,40.0,10.0,1.0,false
23,822.7052,425.657,0.0,55.0,40.0,10.0,1.0,false
24,828.7057,552.39716,0.0,55.0,40.0,10.0,1.0,true
25,714.8651,651.1618,0.0,55.0,40.0,10.0,1.0,false
26,898.8713,592.7512,0.0,55.0,40.0,10.0,1.0,true
27,887.5695,426.6589,0.0,55.0,40.0,10.0,1.0,true
28,1278.9028,453.21002,0.0,55.0,40.0,10.0,1.0,false
29,797.37463,572.8837,0.0,55.0,40.0,10.0,1.0,false
30,724.6675,586.99084,0.0,55.0,40.0,10.0,1.0,false
31,1105.518,392.92825,0.0,55.0,40.0,10.0,1.0,true
32,1176.5244,416.60666,0.0,55.0,40.0,10.0,1.0,false
33,655.99774,562.2709,0.0,55.0,40.0,10.0,1.0,false
34,788.8756,437.57648,0.0,55.0,40.0,10.0,1.0,false
35,826.2535,477.4629,0.0,55.0,40.0,10.0,1.0,false
36,1307.5121,585.6084,0.0,55.0,40.0,10.0,1.0,true
37,1127.7252,688.71545,0.0,55.0,40.0,10.0,1.0,false
38,808.65466,690.4253,0.0,55.0,40.0,10.0,1.0,false
39,927.40186,369.93268,0.0,55.0,40.0,10.0,1.0,true
40,1138.311,402.57993,0.0,55.0,40.0,10.0,1.0,true
41,1171.0483,467.83475,0.0,55.0,40.0,10.0,1.0,true
42,796.12085,607.78235,0.0,55.0,40.0,10.0,1.0,true
43,1163.8125,698.9462,0.0,55.0,40.0,10.0,1.0,false
44,923.87933,291.2504,0.0,55.0,40.0,10.0,1.0,false
45,1201.3512,441.53198,0.0,55.0,40.0,10.0,1.0,false
46,841.30853,514.39014,0.0,55.0,40.0,10.0,1.0,true
47,763.40765,597.7391,0.0,55.0,40.0,10.0,1.0,false
48,940.74786,744.97296,0.0,55.0,40.0,10.0,1.0,false
49,966.76794,317.8931,0.0,55.0,40.0,10.0,1.0,true
50,665.05396,601.52026,0.0,55.0,40.0,10.0,1.0,false
51,1150.8224,662.98975,0.0,55.0,40.0,10.0,1.0,false
52,1094.6838,618.6557,0.0,55.0,40.0,10.0,1.0,false
53,1127.0282,726.61096,0.0,55.0,40.0,10.0,1.0,false
54,1033.2996,652.72595,0.0,55.0,40.0,10.0,1.0,true
55,963.67706,777.4931,0.0,55.0,40.0,10.0,1.0,false
56,1218.9036,476.13126,0.0,55.0,40.0,10.0,1.0,false
57,1225.6656,571.86615,0.0,55.0,40.0,10.0,1.0,false
58,1186.7721,567.50836,0.0,55.0,40.0,10.0,1.0,false
59,891.0903,389.002,0.0,55.0,40.0,10.0,1.0,true
60,830.76404,627.72864,0.0,55.0,40.0,10.0,1.0,true
61,856.438,447.67654,0.0,55.0,40.0,10.0,1.0,true
62,865.77185,608.7269,0.0,55.0,40.0,10.0,1.0,false
63,1066.6248,378.567,0.0,55.0,40.0,10.0,1.0,true
64,894.5559,346.88623,0.0,55.0,40.0,10.0,1.0,false
65,1164.351,600.14124,0.0,55.0,40.0,10.0,1.0,false
66,1051.2618,723.6608,0.0,55.0,40.0,10.0,1.0,false
67,991.91986,661.27844,0.0,55.0,40.0,10.0,1.0,true
68,1070.2769,648.30896,0.0,55.0,40.0,10.0,1.0,false
69,694.65906,577.1943,0.0,55.0,40.0,10.0,1.0,false
70,853.8289,808.8866,0.0,55.0,40.0,10.0,1.0,true
71,1197.8418,346.79556,0.0,55.0,40.0,10.0,1.0,false
72,1049.8481,618.02203,0.0,55.0,40.0,10.0,1.0,true
73,689.0401,538.75446,0.0,55.0,40.0,10.0,1.0,false
74,1275.3379,515.2055,0.0,55.0,40.0,10.0,1.0,false
75,863.7482,568.88947,0.0,55.0,40.0,10.0,1.0,true
76,639.279,625.70593,0.0,55.0,40.0,10.0,1.0,true
77,859.25836,405.1402,0.0,55.0,40.0,10.0,1.0,false
78,754.336,420.7385,0.0,55.0,40.0,10.0,1.0,false
79,1076.7372,757.54517,0.0,55.0,40.0,10.0,1.0,false
80,1201.342,605.45844,0.0,55.0,40.0,10.0,1.0,false
81,986.1371,701.0843,0.0,55.0,40.0,10.0,1.0,false
82,959.8764,672.0715,0.0,55.0,40.0,10.0,1.0,true
