100,55.0,20.0,5.0,0.0,15.0,10.0,100.0
0,1636.6155,913.1798,0.0,55.0,20.0,10.0,1.0,false
1,1739.5894,937.43884,0.0,55.0,20.0,10.0,1.0,false
2,1748.3606,977.1871,0.0,55.0,20.0,10.0,1.0,false
3,1620.6189,1053.1804,0.0,55.0,20.0,10.0,1.0,true
4,1736.7455,959.54645,0.0,55.0,20.0,10.0,1.0,false
5,1699.9694,1015.5369,0.0,55.0,20.0,10.0,1.0,false
6,1706.9312,1071.3918,0.0,55.0,20.0,10.0,1.0,true
7,1654.5585,986.80585,0.0,55.0,20.0,10.0,1.0,false
8,1711.9208,1048.5524,0.0,55.0,20.0,10.0,1.0,false
9,1759.6854,1013.712,0.0,55.0,20.0,10.0,1.0,false
10,1651.2666,1071.4966,0.0,55.0,20.0,10.0,1.0,true
11,1781.1691,1009.90283,0.0,55.0,20.0,10.0,1.0,true
12,1668.7683,1001.68835,0.0,55.0,20.0,10.0,1.0,false
13,1601.6428,1016.9516,0.0,55.0,20.0,10.0,1.0,true
14,1594.369,920.69226,0.0,55.0,20.0,10.0,1.0,false
15,1605.818,898.79486,0.0,55.0,20.0,10.0,1.0,false
16,1627.6914,953.8323,0.0,55.0,20.0,10.0,1.0,false
17,1606.8915,995.439,0.0,55.0,20.0,10.0,1.0,true
18,1709.8114,988.6652,0.0,55.0,20.0,10.0,1.0,false
19,1728.8724,982.3043,0.0,55.0,20.0,10.0,1.0,false
20,1617.198,1032.5848,0.0,55.0,20.0,10.0,1.0,false
21,1690.2166,997.39514,0.0,55.0,20.0,10.0,1.0,false
22,1784.7881,886.61774,0.0,55.0,20.0,10.0,1.0,true
23,1739.6544,874.9446,0.0,55.0,20.0,10.0,1.0,false
24,1610.9197,938.35895,0.0,55.0,20.0,10.0,1.0,false
25,1720.8494,945.6326,0.0,55.0,20.0,10.0,1.0,false
26,1809.1332,924.02484,0.0,55.0,20.0,10.0,1.0,true
27,1739.2966,1021.4708,0.0,55.0,20.0,10.0,1.0,false
28,1778.06,925.5747,0.0,55.0,20.0,10.0,1.0,false
29,1625.8716,894.1618,0.0,55.0,20.0,10.0,1.0,false
30,1770.2767,872.5342,0.0,55.0,20.0,10.0,1.0,true
31,1633.0768,934.17926,0.0,55.0,20.0,10.0,1.0,false
32,1731.8362,918.44464,0.0,55.0,20.0,10.0,1.0,false
