100,50.0,10.0,5.0,0.0,5.0,10.0,100.0
0,1213.2952,633.66614,0.0,50.0,10.0,10.0,1.0,true
1,685.5477,557.8943,0.0,50.0,10.0,10.0,1.0,true
2,656.59985,303.32678,0.0,50.0,10.0,10.0,1.0,true
3,677.1867,825.16205,0.0,50.0,10.0,10.0,1.0,true
4,1484.1844,450.1027,0.0,50.0,10.0,10.0,1.0,true
5,450.80115,430.70895,0.0,50.0,10.0,10.0,1.0,true
6,912.1679,853.91925,0.0,50.0,10.0,10.0,1.0,true
7,1051.2947,787.6079,0.0,50.0,10.0,10.0,1.0,true
8,1463.6487,776.5456,0.0,50.0,10.0,10.0,1.0,true
9,767.1821,607.08936,0.0,50.0,10.0,10.0,1.0,true
10,732.20294,505.04782,0.0,50.0,10.0,10.0,1.0,true
11,600.7895,489.63736,0.0,50.0,10.0,10.0,1.0,true
12,1519.9772,847.6215,0.0,50.0,10.0,10.0,1.0,true
13,700.8546,835.05835,0.0,50.0,10.0,10.0,1.0,true
14,870.17413,580.72095,0.0,50.0,10.0,10.0,1.0,true
15,1037.815,227.23825,0.0,50.0,10.0,10.0,1.0,true
16,1405.7267,584.9297,0.0,50.0,10.0,10.0,1.0,true
17,511.75,511.91257,0.0,50.0,10.0,10.0,1.0,true
18,923.2347,621.0868,0.0,50.0,10.0,10.0,1.0,true
19,831.98846,374.87607,0.0,50.0,10.0,10.0,1.0,true
20,512.44275,239.22433,0.0,50.0,10.0,10.0,1.0,true
21,731.39703,373.412,0.0,50.0,10.0,10.0,1.0,true
22,621.2682,805.47595,0.0,50.0,10.0,10.0,1.0,true
23,942.9927,299.20535,0.0,50.0,10.0,10.0,1.0,true
24,1359.2941,491.95493,0.0,50.0,10.0,10.0,1.0,true
25,1511.3549,412.63342,0.0,50.0,10.0,10.0,1.0,true
26,1121.3281,430.51587,0.0,50.0,10.0,10.0,1.0,true
27,734.0118,432.22607,0.0,50.0,10.0,10.0,1.0,true
28,1199.7356,423.2355,0.0,50.0,10.0,10.0,1.0,true
29,388.14432,623.5216,0.0,50.0,10.0,10.0,1.0,true
30,1436.3961,279.45483,0.0,50.0,10.0,10.0,1.0,true
31,669.2235,584.892,0.0,50.0,10.0,10.0,1.0,true
32,924.93835,843.5088,0.0,50.0,10.0,10.0,1.0,true
33,1322.1956,462.6792,0.0,50.0,10.0,10.0,1.0,true
34,568.01086,818.1523,0.0,50.0,10.0,10.0,1.0,true
35,576.1775,542.8099,0.0,50.0,10.0,10.0,1.0,true
36,1237.3472,788.61566,0.0,50.0,10.0,10.0,1.0,true
37,839.9578,547.69495,0.0,50.0,10.0,10.0,1.0,true
38,1004.9414,460.76334,0.0,50.0,10.0,10.0,1.0,true
39,403.51633,420.55026,0.0,50.0,10.0,10.0,1.0,true
40,722.3584,660.67725,0.0,50.0,10.0,10.0,1.0,true
41,723.9413,421.31647,0.0,50.0,10.0,10.0,1.0,true
42,858.70764,431.96466,0.0,50.0,10.0,10.0,1.0,true
43,798.1226,560.2257,0.0,50.0,10.0,10.0,1.0,true
44,1136.7266,656.1413,0.0,50.0,10.0,10.0,1.0,true
45,1067.0833,680.03284,0.0,50.0,10.0,10.0,1.0,true
46,1503.372,756.6413,0.0,50.0,10.0,10.0,1.0,true
47,1479.3983,335.37326,0.0,50.0,10.0,10.0,1.0,true
48,1126.9419,421.53928,0.0,50.0,10.0,10.0,1.0,true
49,539.4602,665.1388,0.0,50.0,10.0,10.0,1.0,true
50,1171.655,800.2717,0.0,50.0,10.0,10.0,1.0,true
51,542.00867,486.8107,0.0,50.0,10.0,10.0,1.0,true
52,1329.4402,516.9479,0.0,50.0,10.0,10.0,1.0,true
53,534.9907,340.11182,0.0,50.0,10.0,10.0,1.0,true
54,1044.0492,363.82047,0.0,50.0,10.0,10.0,1.0,true
55,560.047,597.02094,0.0,50.0,10.0,10.0,1.0,true
56,475.13257,278.84122,0.0,50.0,10.0,10.0,1.0,true
57,889.3964,834.13965,0.0,50.0,10.0,10.0,1.0,true
58,1224.2317,349.76715,0.0,50.0,10.0,10.0,1.0,true
59,1199.2041,603.7489,0.0,50.0,10.0,10.0,1.0,true
60,763.3711,793.9681,0.0,50.0,10.0,10.0,1.0,true
61,912.3175,369.89392,0.0,50.0,10.0,10.0,1.0,true
62,854.70306,836.9724,0.0,50.0,10.0,10.0,1.0,true
63,889.1475,653.8805,0.0,50.0,10.0,10.0,1.0,true
64,1257.0857,844.0817,0.0,50.0,10.0,10.0,1.0,true
65,1068.1016,266.15424,0.0,50.0,10.0,10.0,1.0,true
66,1251.2018,695.3988,0.0,50.0,10.0,10.0,1.0,true
67,1421.9431,241.30466,0.0,50.0,10.0,10.0,1.0,true
68,509.45673,801.7963,0.0,50.0,10.0,10.0,1.0,true
69,1131.4109,724.6444,0.0,50.0,10.0,10.0,1.0,true
70,923.07007,437.27838,0.0,50.0,10.0,10.0,1.0,true
71,1283.9777,833.34283,0.0,50.0,10.0,10.0,1.0,true
72,847.11304,222.5389,0.0,50.0,10.0,10.0,1.0,true
73,819.41614,647.4492,0.0,50.0,10.0,10.0,1.0,true
74,1259.373,783.13635,0.0,50.0,10.0,10.0,1.0,true
75,1442.461,517.4627,0.0,50.0,10.0,10.0,1.0,true
76,1169.4656,742.511,0.0,50.0,10.0,10.0,1.0,true
77,1113.9736,554.63995,0.0,50.0,10.0,10.0,1.0,true
78,905.1958,635.152,0.0,50.0,10.0,10.0,1.0,true
79,1017.219,689.3766,0.0,50.0,10.0,10.0,1.0,true
80,1210.4175,585.7699,0.0,50.0,10.0,10.0,1.0,true
81,622.803,453.24332,0.0,50.0,10.0,10.0,1.0,true
82,949.169,636.65717,0.0,50.0,10.0,10.0,1.0,true
83,1422.1058,335.2561,0.0,50.0,10.0,10.0,1.0,true
84,443.31354,664.9846,0.0,50.0,10.0,10.0,1.0,true
85,972.31104,800.4465,0.0,50.0,10.0,10.0,1.0,true
86,1495.9011,591.1454,0.0,50.0,10.0,10.0,1.0,true
87,1421.9945,218.68045,0.0,50.0,10.0,10.0,1.0,true
88,888.6155,794.1156,0.0,50.0,10.0,10.0,1.0,true
89,1192.3323,721.93884,0.0,50.0,10.0,10.0,1.0,true
90,829.614,332.98102,0.0,50.0,10.0,10.0,1.0,true
91,728.9273,363.06378,0.0,50.0,10.0,10.0,1.0,true
92,958.41895,845.2156,0.0,50.0,10.0,10.0,1.0,true
93,1216.6783,414.5497,0.0,50.0,10.0,10.0,1.0,true
94,595.91266,313.07184,0.0,50.0,10.0,10.0,1.0,true
95,1470.6328,606.696,0.0,50.0,10.0,10.0,1.0,true
96,822.54895,343.74066,0.0,50.0,10.0,10.0,1.0,true
97,1527.0181,396.8464,0.0,50.0,10.0,10.0,1.0,true
98,733.23425,730.08716,0.0,50.0,10.0,10.0,1.0,true
99,722.2418,724.1581,0.0,50.0,10.0,10.0,1.0,true
